cprov;Provincia;cdpto;Departamento/partido ;ranguis;rango
2;Ciudad Autónoma de Buenos Aires;2001;Comuna 1;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2002;Comuna 2;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2003;Comuna 3;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2004;Comuna 4;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2005;Comuna 5;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2006;Comuna 6;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2007;Comuna 7;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2008;Comuna 8;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2009;Comuna 9;1-4.99;5
2;Ciudad Autónoma de Buenos Aires;2010;Comuna 10;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2011;Comuna 11;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2012;Comuna 12;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2013;Comuna 13;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2014;Comuna 14;0-0.99;6
2;Ciudad Autónoma de Buenos Aires;2015;Comuna 15;0-0.99;6
6;Buenos Aires;6007;Adolfo Alsina;1-4.99;5
6;Buenos Aires;6014;Adolfo Gonzales Chaves;1-4.99;5
6;Buenos Aires;6021;Alberti;1-4.99;5
6;Buenos Aires;6028;Almirante Brown;5-9.99;4
6;Buenos Aires;6035;Avellaneda;1-4.99;5
6;Buenos Aires;6042;Ayacucho;5-9.99;4
6;Buenos Aires;6049;Azul;5-9.99;4
6;Buenos Aires;6056;Bahía Blanca;1-4.99;5
6;Buenos Aires;6063;Balcarce;5-9.99;4
6;Buenos Aires;6070;Baradero;5-9.99;4
6;Buenos Aires;6077;Arrecifes;5-9.99;4
6;Buenos Aires;6084;Benito Juárez;1-4.99;5
6;Buenos Aires;6091;Berazategui;5-9.99;4
6;Buenos Aires;6098;Berisso;5-9.99;4
6;Buenos Aires;6105;Bolívar;1-4.99;5
6;Buenos Aires;6112;Bragado;5-9.99;4
6;Buenos Aires;6119;Brandsen;5-9.99;4
6;Buenos Aires;6126;Campana;5-9.99;4
6;Buenos Aires;6134;Cañuelas;10-14.99;3
6;Buenos Aires;6140;Capitán Sarmiento;5-9.99;4
6;Buenos Aires;6147;Carlos Casares;5-9.99;4
6;Buenos Aires;6154;Carlos Tejedor;5-9.99;4
6;Buenos Aires;6161;Carmen de Areco;5-9.99;4
6;Buenos Aires;6168;Castelli;5-9.99;4
6;Buenos Aires;6175;Colón;5-9.99;4
6;Buenos Aires;6182;Coronel de Marina Leonardo Rosales;1-4.99;5
6;Buenos Aires;6189;Coronel Dorrego;1-4.99;5
6;Buenos Aires;6196;Coronel Pringles;5-9.99;4
6;Buenos Aires;6203;Coronel Suárez;1-4.99;5
6;Buenos Aires;6210;Chacabuco;5-9.99;4
6;Buenos Aires;6217;Chascomús;5-9.99;4
6;Buenos Aires;6224;Chivilcoy;1-4.99;5
6;Buenos Aires;6231;Daireaux;5-9.99;4
6;Buenos Aires;6238;Dolores;1-4.99;5
6;Buenos Aires;6245;Ensenada;5-9.99;4
6;Buenos Aires;6252;Escobar;10-14.99;3
6;Buenos Aires;6260;Esteban Echeverría;10-14.99;3
6;Buenos Aires;6266;Exaltación de la Cruz;5-9.99;4
6;Buenos Aires;6270;Ezeiza;10-14.99;3
6;Buenos Aires;6274;Florencio Varela;15-24.99;2
6;Buenos Aires;6277;Florentino Ameghino;5-9.99;4
6;Buenos Aires;6280;General Alvarado;5-9.99;4
6;Buenos Aires;6287;General Alvear;5-9.99;4
6;Buenos Aires;6294;General Arenales;1-4.99;5
6;Buenos Aires;6301;General Belgrano;1-4.99;5
6;Buenos Aires;6308;General Guido;5-9.99;4
6;Buenos Aires;6315;General Juan Madariaga;5-9.99;4
6;Buenos Aires;6322;General La Madrid;1-4.99;5
6;Buenos Aires;6329;General Las Heras;5-9.99;4
6;Buenos Aires;6336;General Lavalle;5-9.99;4
6;Buenos Aires;6343;General Paz;5-9.99;4
6;Buenos Aires;6351;General Pinto;5-9.99;4
6;Buenos Aires;6357;General Pueyrredón;1-4.99;5
6;Buenos Aires;6364;General Rodríguez;10-14.99;3
6;Buenos Aires;6371;General San Martín;5-9.99;4
6;Buenos Aires;6385;General Viamonte;1-4.99;5
6;Buenos Aires;6392;General Villegas;5-9.99;4
6;Buenos Aires;6399;Guaminí;1-4.99;5
6;Buenos Aires;6406;Hipólito Yrigoyen;1-4.99;5
6;Buenos Aires;6408;Hurlingham;5-9.99;4
6;Buenos Aires;6410;Ituzaingó;1-4.99;5
6;Buenos Aires;6412;José C. Paz;10-14.99;3
6;Buenos Aires;6413;Junín;1-4.99;5
6;Buenos Aires;6420;La Costa;5-9.99;4
6;Buenos Aires;6427;La Matanza;10-14.99;3
6;Buenos Aires;6434;Lanús;5-9.99;4
6;Buenos Aires;6441;La Plata;5-9.99;4
6;Buenos Aires;6448;Laprida;5-9.99;4
6;Buenos Aires;6455;Las Flores;5-9.99;4
6;Buenos Aires;6462;Leandro N. Alem;5-9.99;4
6;Buenos Aires;6469;Lincoln;1-4.99;5
6;Buenos Aires;6476;Lobería;1-4.99;5
6;Buenos Aires;6483;Lobos;5-9.99;4
6;Buenos Aires;6490;Lomas de Zamora;5-9.99;4
6;Buenos Aires;6497;Luján;5-9.99;4
6;Buenos Aires;6505;Magdalena;5-9.99;4
6;Buenos Aires;6511;Maipú;5-9.99;4
6;Buenos Aires;6515;Malvinas Argentinas;5-9.99;4
6;Buenos Aires;6518;Mar Chiquita;5-9.99;4
6;Buenos Aires;6525;Marcos Paz;15-24.99;2
6;Buenos Aires;6532;Mercedes;5-9.99;4
6;Buenos Aires;6539;Merlo;10-14.99;3
6;Buenos Aires;6547;Monte;5-9.99;4
6;Buenos Aires;6553;Monte Hermoso;1-4.99;5
6;Buenos Aires;6560;Moreno;10-14.99;3
6;Buenos Aires;6568;Morón;1-4.99;5
6;Buenos Aires;6574;Navarro;5-9.99;4
6;Buenos Aires;6581;Necochea;1-4.99;5
6;Buenos Aires;6588;9 de Julio;5-9.99;4
